freq,num_neur,threshold,learning_rate,pre,post,diff,num_samps,,For all trials:,
15,30,0.00075,5.00E-05,0.5,1,0.5,5,,distance,0.3
15,30,0.0025,5.00E-05,0.5,1,0.5,5,,span,6
15,30,0.025,1.00E-05,0.5,1,0.5,4,,,
15,30,0.025,0.0001,0.496,1,0.504,5,,,
15,30,0.075,5.00E-05,0.5,1,0.5,5,,,
15,30,0.25,5.00E-05,0.5,1,0.5,5,,,
15,30,0.25,0.0001,0.5,1,0.5,5,,,
15,30,0.25,0.0005,0.5,1,0.5,5,,,
15,30,0.25,0.001,0.5,1,0.5,5,,,
15,30,0.5,0.0005,0.5,1,0.5,5,,,
15,30,0.75,0.001,0.5,1,0.5,5,,,
50,30,0.0025,0.0001,0.5,1,0.5,5,,,
50,30,0.005,5.00E-05,0.5,1,0.5,5,,,
50,30,0.005,0.0001,0.5,1,0.5,5,,,
50,30,0.0075,1.00E-05,0.5,1,0.5,5,,,
50,30,0.0075,5.00E-05,0.5,1,0.5,5,,,
50,30,0.025,5.00E-05,0.5,1,0.5,5,,,
50,30,0.075,1.00E-05,0.495,0.998,0.503,5,,,
50,30,0.25,5.00E-05,0.5,1,0.5,5,,,
50,30,0.25,0.0005,0.5,1,0.5,5,,,
50,30,0.25,0.001,0.5,1,0.5,5,,,
50,30,0.5,0.0001,0.5,1,0.5,5,,,
50,30,0.5,0.0005,0.5,1,0.5,5,,,
50,30,0.5,0.001,0.5,1,0.5,5,,,
50,30,0.75,0.0005,0.5,1,0.5,5,,,
50,30,0.75,0.001,0.5,1,0.5,5,,,
50,30,0.75,0.005,0.5,1,0.5,5,,,
100,30,0.005,1.00E-05,0.5,1,0.5,5,,,
100,30,0.0075,1.00E-05,0.5,1,0.5,5,,,
100,30,0.025,1.00E-05,0.5,1,0.5,5,,,
100,30,0.025,0.0001,0.5,1,0.5,5,,,
100,30,0.05,5.00E-05,0.5,1,0.5,5,,,
100,30,0.25,1.00E-05,0.5,1,0.5,5,,,
100,30,0.25,5.00E-05,0.5,1,0.5,5,,,
100,30,0.25,0.0001,0.5,1,0.5,5,,,
100,30,0.5,0.0001,0.5,1,0.5,5,,,
100,30,0.5,0.001,0.5,1,0.5,5,,,
100,30,0.75,5.00E-05,0.5,1,0.5,5,,,
100,30,0.75,0.0001,0.5,1,0.5,5,,,
100,30,0.75,0.0005,0.5,1,0.5,5,,,
15,150,0.00075,0.0001,0.5,1,0.5,5,,,
15,150,0.0025,5.00E-05,0.5,1,0.5,5,,,
15,150,0.0075,0.0001,0.5,1,0.5,5,,,
15,150,0.025,5.00E-05,0.5,1,0.5,5,,,
15,150,0.25,5.00E-05,0.5,1,0.5,5,,,
15,150,0.25,0.0001,0.5,1,0.5,5,,,
15,150,0.25,0.0005,0.5,1,0.5,5,,,
15,150,0.25,0.001,0.5,1,0.5,5,,,
15,150,0.25,0.005,0.5,1,0.5,5,,,
15,150,0.5,5.00E-05,0.5,1,0.5,4,,,
15,150,0.5,0.0001,0.5,1,0.5,5,,,
15,150,0.5,0.0005,0.5,1,0.5,5,,,
15,150,0.5,0.001,0.5,1,0.5,5,,,
15,150,0.5,0.005,0.5,1,0.5,5,,,
15,150,0.75,5.00E-05,0.5,1,0.5,5,,,
15,150,0.75,0.0001,0.5,1,0.5,5,,,
15,150,0.75,0.0005,0.5,1,0.5,5,,,
15,150,0.75,0.001,0.5,1,0.5,5,,,
15,150,0.75,0.005,0.5,1,0.5,5,,,
50,150,0.0075,0.0001,0.5,1,0.5,5,,,
50,150,0.05,0.0001,0.5,1,0.5,5,,,
50,150,0.075,5.00E-06,0.496,1,0.504,5,,,
50,150,0.075,5.00E-05,0.5,1,0.5,5,,,
50,150,0.25,5.00E-06,0.5,1,0.5,5,,,
50,150,0.25,1.00E-05,0.5,1,0.5,5,,,
50,150,0.25,5.00E-05,0.5,1,0.5,5,,,
50,150,0.25,0.0001,0.5,1,0.5,5,,,
50,150,0.25,0.0005,0.5,1,0.5,5,,,
50,150,0.25,0.001,0.5,1,0.5,5,,,
50,150,0.5,1.00E-05,0.5,1,0.5,5,,,
50,150,0.5,5.00E-05,0.5,1,0.5,4,,,
50,150,0.5,0.0001,0.5,1,0.5,5,,,
50,150,0.5,0.0005,0.5,1,0.5,5,,,
50,150,0.5,0.001,0.5,1,0.5,5,,,
50,150,0.5,0.005,0.5,1,0.5,5,,,
50,150,0.75,5.00E-05,0.5,1,0.5,5,,,
50,150,0.75,0.0001,0.5,1,0.5,5,,,
50,150,0.75,0.0005,0.5,1,0.5,5,,,
50,150,0.75,0.001,0.5,1,0.5,5,,,
50,150,0.75,0.005,0.5,1,0.5,5,,,
100,150,0.025,5.00E-06,0.5,1,0.5,5,,,
100,150,0.025,1.00E-05,0.5,1,0.5,4,,,
100,150,0.05,1.00E-05,0.5,1,0.5,5,,,
100,150,0.05,5.00E-05,0.5,1,0.5,5,,,
100,150,0.075,5.00E-06,0.5,1,0.5,5,,,
100,150,0.25,0.0005,0.5,1,0.5,5,,,
100,150,0.5,1.00E-05,0.5,1,0.5,5,,,
100,150,0.5,5.00E-05,0.5,1,0.5,4,,,
100,150,0.5,0.0001,0.5,1,0.5,5,,,
100,150,0.5,0.0005,0.5,1,0.5,5,,,
100,150,0.75,5.00E-06,0.5,1,0.5,5,,,
100,150,0.75,1.00E-05,0.5,1,0.5,5,,,
100,150,0.75,5.00E-05,0.5,1,0.5,5,,,
100,150,0.75,0.0001,0.5,1,0.5,5,,,
100,150,0.75,0.0005,0.5,1,0.5,5,,,
15,500,0.005,0.0005,0.5,1,0.5,4,,,
15,500,0.0075,5.00E-05,0.5,1,0.5,2,,,
15,500,0.0075,0.0005,0.5,1,0.5,5,,,
15,500,0.025,0.0001,0.5,1,0.5,5,,,
15,500,0.05,1.00E-05,0.5,1,0.5,1,,,
15,500,0.05,5.00E-05,0.5,1,0.5,4,,,
15,500,0.075,1.00E-05,0.5,1,0.5,2,,,
15,500,0.075,5.00E-05,0.5,1,0.5,4,,,
15,500,0.075,0.0001,0.5,1,0.5,4,,,
15,500,0.075,0.0005,0.5,1,0.5,2,,,
15,500,0.25,5.00E-06,0.5,1,0.5,3,,,
15,500,0.25,1.00E-05,0.5,1,0.5,4,,,
15,500,0.25,5.00E-05,0.5,1,0.5,5,,,
15,500,0.25,0.0001,0.5,1,0.5,5,,,
15,500,0.25,0.0005,0.5,1,0.5,5,,,
15,500,0.25,0.001,0.5,1,0.5,5,,,
15,500,0.25,0.005,0.5,1,0.5,5,,,
15,500,0.5,5.00E-05,0.5,1,0.5,3,,,
15,500,0.5,0.0001,0.5,1,0.5,5,,,
15,500,0.5,0.0005,0.5,1,0.5,5,,,
15,500,0.5,0.001,0.5,1,0.5,3,,,
15,500,0.5,0.005,0.5,1,0.5,5,,,
15,500,0.75,5.00E-05,0.5,1,0.5,5,,,
15,500,0.75,0.0001,0.5,1,0.5,5,,,
15,500,0.75,0.0005,0.5,1,0.5,3,,,
15,500,0.75,0.001,0.5,1,0.5,5,,,
15,500,0.75,0.005,0.5,1,0.5,5,,,
50,500,0.0075,1.00E-05,0.5,1,0.5,1,,,
50,500,0.0075,5.00E-05,0.5,1,0.5,2,,,
50,500,0.025,1.00E-05,0.5,1,0.5,1,,,
50,500,0.025,5.00E-05,0.5,1,0.5,3,,,
50,500,0.025,0.0001,0.5,1,0.5,4,,,
50,500,0.05,5.00E-06,0.5,1,0.5,1,,,
50,500,0.05,1.00E-05,0.5,1,0.5,3,,,
50,500,0.05,5.00E-05,0.5,1,0.5,4,,,
50,500,0.05,0.0001,0.5,1,0.5,2,,,
50,500,0.075,5.00E-06,0.5,1,0.5,1,,,
50,500,0.075,1.00E-05,0.5,1,0.5,2,,,
50,500,0.075,5.00E-05,0.5,1,0.5,3,,,
50,500,0.075,0.0005,0.5,1,0.5,1,,,
50,500,0.25,1.00E-05,0.5,1,0.5,4,,,
50,500,0.5,5.00E-06,0.5,1,0.5,3,,,
50,500,0.5,5.00E-05,0.5,1,0.5,4,,,
50,500,0.5,0.0001,0.5,1,0.5,5,,,
50,500,0.5,0.0005,0.5,1,0.5,3,,,
50,500,0.5,0.001,0.5,1,0.5,3,,,
50,500,0.75,5.00E-06,0.5,1,0.5,5,,,
50,500,0.75,1.00E-05,0.5,1,0.5,5,,,
50,500,0.75,5.00E-05,0.5,1,0.5,5,,,
50,500,0.75,0.0001,0.5,1,0.5,5,,,
50,500,0.75,0.001,0.5,1,0.5,4,,,
50,500,0.75,0.005,0.5,1,0.5,5,,,
100,500,0.005,0.0001,0.5,1,0.5,2,,,
100,500,0.025,1.00E-05,0.5,1,0.5,1,,,
100,500,0.025,5.00E-05,0.5,1,0.5,3,,,
100,500,0.05,1.00E-06,0.5,1,0.5,1,,,
100,500,0.05,5.00E-06,0.5,1,0.5,2,,,
100,500,0.05,1.00E-05,0.5,1,0.5,3,,,
100,500,0.075,5.00E-06,0.5,1,0.5,1,,,
100,500,0.075,1.00E-05,0.5,1,0.5,2,,,
100,500,0.075,5.00E-05,0.5,1,0.5,4,,,
100,500,0.25,1.00E-06,0.5,1,0.5,3,,,
100,500,0.25,1.00E-05,0.5,1,0.5,4,,,
100,500,0.5,1.00E-06,0.5,1,0.5,2,,,
100,500,0.5,5.00E-06,0.5,1,0.5,4,,,
100,500,0.5,5.00E-05,0.5,1,0.5,3,,,
100,500,0.5,0.0001,0.5,1,0.5,5,,,
100,500,0.75,5.00E-06,0.5,1,0.5,2,,,
100,500,0.75,1.00E-05,0.5,1,0.5,5,,,
100,500,0.75,5.00E-05,0.5,1,0.5,5,,,
100,500,0.75,0.0001,0.5,1,0.5,5,,,
100,500,0.75,0.0005,0.5,1,0.5,1,,,
