num_neur,freq,distance,span,threshold,learning_rate,pre,post,diff
150.0,50.0,0.05,3.0,0.005,0.001,0.5,0.6,0.1
150.0,50.0,0.05,3.0,0.005,0.005,0.5,0.504,0.004
150.0,50.0,0.05,3.0,0.0075,5e-06,0.5,0.788,0.288
150.0,50.0,0.05,3.0,0.0075,1e-05,0.5,1.0,0.5
150.0,50.0,0.05,3.0,0.0075,5e-05,0.5,1.0,0.5
150.0,50.0,0.05,3.0,0.0075,0.0001,0.5,0.75125,0.25125
150.0,50.0,0.05,3.0,0.0075,0.0005,0.5,0.725,0.225
150.0,50.0,0.05,3.0,0.025,5e-06,0.5,0.8109999999999999,0.311
150.0,50.0,0.05,3.0,0.025,1e-05,0.5,1.0,0.5
150.0,50.0,0.05,3.0,0.025,5e-05,0.5,1.0,0.5
150.0,50.0,0.05,3.0,0.025,0.0001,0.5,0.666,0.166
150.0,50.0,0.05,3.0,0.025,0.001,0.5,0.5860000000000001,0.086
150.0,50.0,0.05,3.0,0.05,1e-06,0.5,0.62125,0.12125
150.0,50.0,0.05,3.0,0.05,5e-06,0.5,0.86,0.36000000000000004
150.0,50.0,0.05,3.0,0.05,1e-05,0.5,1.0,0.5
150.0,50.0,0.05,3.0,0.05,5e-05,0.5,1.0,0.5
150.0,50.0,0.05,3.0,0.05,0.0001,0.5,1.0,0.5
150.0,50.0,0.05,3.0,0.075,5e-06,0.5,1.0,0.5
150.0,50.0,0.05,3.0,0.075,1e-05,0.5,0.99125,0.49125
150.0,50.0,0.05,3.0,0.075,0.0001,0.5,1.0,0.5
150.0,50.0,0.05,3.0,0.075,0.001,0.5,0.6,0.1
150.0,50.0,0.05,3.0,0.25,1e-06,0.5,0.635,0.13499999999999998
150.0,50.0,0.05,3.0,0.25,5e-06,0.5,0.9969999999999999,0.497
150.0,50.0,0.05,3.0,0.25,1e-05,0.5,1.0,0.5
150.0,50.0,0.05,3.0,0.25,5e-05,0.5,1.0,0.5
150.0,50.0,0.05,3.0,0.25,0.0001,0.5,1.0,0.5
150.0,50.0,0.05,3.0,0.25,0.0005,0.5,0.875,0.375
150.0,50.0,0.05,3.0,0.25,0.001,0.5,0.8,0.3
150.0,50.0,0.05,3.0,0.25,0.005,0.5,0.625,0.125
150.0,50.0,0.05,3.0,0.5,5e-06,0.5,1.0,0.5
150.0,50.0,0.05,3.0,0.5,1e-05,0.5,1.0,0.5
150.0,50.0,0.05,3.0,0.5,5e-05,0.5,1.0,0.5
150.0,50.0,0.05,3.0,0.5,0.0001,0.5,1.0,0.5
150.0,50.0,0.05,3.0,0.5,0.0005,0.5,1.0,0.5
150.0,50.0,0.05,3.0,0.5,0.001,0.5,1.0,0.5
150.0,50.0,0.05,3.0,0.5,0.005,0.5,0.8,0.3
150.0,50.0,0.05,3.0,0.75,5e-06,0.5,0.501,0.001
150.0,50.0,0.05,3.0,0.75,1e-05,0.5,1.0,0.5
150.0,50.0,0.05,3.0,0.75,5e-05,0.5,1.0,0.5
150.0,50.0,0.05,3.0,0.75,0.0001,0.5,1.0,0.5
150.0,50.0,0.05,3.0,0.75,0.0005,0.5,0.9,0.4
150.0,50.0,0.05,3.0,0.75,0.001,0.5,0.8,0.3
150.0,50.0,0.05,3.0,0.75,0.005,0.5,0.6990000000000001,0.199
150.0,100.0,0.05,3.0,0.00025,5e-06,0.5,0.65875,0.15875
150.0,100.0,0.05,3.0,0.00025,1e-05,0.5,0.734,0.23399999999999999
150.0,100.0,0.05,3.0,0.00025,5e-05,0.5,0.483,-0.017000000000000005
150.0,100.0,0.05,3.0,0.00025,0.0001,0.5,0.613,0.11299999999999999
150.0,100.0,0.05,3.0,0.00025,0.0005,0.5,0.50875,0.008749999999999999
150.0,100.0,0.05,3.0,0.0005,5e-06,0.5,0.776,0.27599999999999997
150.0,100.0,0.05,3.0,0.0005,1e-05,0.5,0.57375,0.07375
150.0,100.0,0.05,3.0,0.0005,5e-05,0.5,0.6716666666666667,0.17166666666666666
150.0,100.0,0.05,3.0,0.0005,0.0001,0.5,0.74625,0.24625
150.0,100.0,0.05,3.0,0.0005,0.0005,0.5,0.50625,0.00625
150.0,100.0,0.05,3.0,0.00075,1e-06,0.5,0.5975,0.0975
150.0,100.0,0.05,3.0,0.00075,5e-06,0.5,0.7887500000000001,0.28875
150.0,100.0,0.05,3.0,0.00075,1e-05,0.5,0.80625,0.30625
150.0,100.0,0.05,3.0,0.00075,5e-05,0.5,0.6416666666666667,0.1416666666666667
150.0,100.0,0.05,3.0,0.00075,0.0001,0.5,0.615,0.11499999999999999
150.0,100.0,0.05,3.0,0.00075,0.0005,0.5,0.503,0.003
150.0,100.0,0.05,3.0,0.0025,5e-06,0.5,0.9239999999999998,0.42400000000000004
150.0,100.0,0.05,3.0,0.0025,1e-05,0.5,0.8587499999999999,0.35875
150.0,100.0,0.05,3.0,0.0025,5e-05,0.5,0.7325,0.2325
150.0,100.0,0.05,3.0,0.0025,0.0001,0.5,0.65,0.15
150.0,100.0,0.05,3.0,0.005,5e-06,0.5,1.0,0.5
150.0,100.0,0.05,3.0,0.005,1e-05,0.5,0.98,0.48
150.0,100.0,0.05,3.0,0.005,5e-05,0.5,0.82125,0.32125
150.0,100.0,0.05,3.0,0.005,0.0001,0.5,0.875,0.375
150.0,100.0,0.05,3.0,0.005,0.0005,0.5,0.596,0.096
150.0,100.0,0.05,3.0,0.0075,5e-06,0.5,0.995,0.49499999999999994
150.0,100.0,0.05,3.0,0.0075,1e-05,0.5,0.97875,0.47875
150.0,100.0,0.05,3.0,0.0075,5e-05,0.5,0.8390000000000001,0.339
150.0,100.0,0.05,3.0,0.0075,0.0001,0.5,0.875,0.375
150.0,100.0,0.05,3.0,0.025,5e-06,0.5,0.9400000000000001,0.44000000000000006
150.0,100.0,0.05,3.0,0.025,1e-05,0.5,1.0,0.5
150.0,100.0,0.05,3.0,0.025,5e-05,0.5,0.901,0.40099999999999997
150.0,100.0,0.05,3.0,0.025,0.0001,0.5,0.8230000000000001,0.323
150.0,100.0,0.05,3.0,0.05,5e-06,0.5,0.995,0.495
150.0,100.0,0.05,3.0,0.05,1e-05,0.5,0.99875,0.49875
150.0,100.0,0.05,3.0,0.05,5e-05,0.5,0.75,0.25
150.0,100.0,0.05,3.0,0.075,1e-06,0.5,0.5833333333333334,0.08333333333333333
150.0,100.0,0.05,3.0,0.075,5e-06,0.5,0.976,0.476
150.0,100.0,0.05,3.0,0.075,1e-05,0.5,1.0,0.5
150.0,100.0,0.05,3.0,0.075,5e-05,0.5,0.9,0.4
150.0,100.0,0.05,3.0,0.075,0.0001,0.5,0.776,0.27599999999999997
150.0,100.0,0.05,3.0,0.075,0.005,0.502,0.5,-0.002
150.0,100.0,0.05,3.0,0.25,1e-05,0.5,0.89,0.38999999999999996
150.0,100.0,0.05,3.0,0.25,0.0005,0.5,0.7,0.2
150.0,100.0,0.05,3.0,0.25,0.001,0.5,0.625,0.125
150.0,100.0,0.05,3.0,0.5,5e-06,0.5,0.776,0.27599999999999997
150.0,100.0,0.05,3.0,0.5,1e-05,0.5,1.0,0.5
150.0,100.0,0.05,3.0,0.5,5e-05,0.5,0.999,0.499
150.0,100.0,0.05,3.0,0.5,0.0001,0.5,1.0,0.5
150.0,100.0,0.05,3.0,0.5,0.0005,0.5,0.75125,0.25125
150.0,100.0,0.05,3.0,0.5,0.005,0.5,0.529,0.028999999999999998
150.0,100.0,0.05,3.0,0.75,5e-06,0.5,0.74375,0.24375000000000002
150.0,100.0,0.05,3.0,0.75,1e-05,0.5,0.9725,0.47250000000000003
150.0,100.0,0.05,3.0,0.75,5e-05,0.5,0.9583333333333334,0.4583333333333333
150.0,100.0,0.05,3.0,0.75,0.0001,0.5,1.0,0.5
150.0,100.0,0.05,3.0,0.75,0.0005,0.5,0.825,0.325
150.0,100.0,0.05,3.0,0.75,0.001,0.5,0.8,0.3
150.0,100.0,0.05,3.0,0.75,0.005,0.5,0.6,0.1
500.0,15.0,0.05,3.0,0.00025,5e-05,0.5,0.8916666666666666,0.39166666666666666
500.0,15.0,0.05,3.0,0.00025,0.0001,0.5,0.86,0.36
500.0,15.0,0.05,3.0,0.00025,0.0005,0.5,0.555,0.055
500.0,15.0,0.05,3.0,0.00025,0.001,0.5,0.6625,0.1625
500.0,15.0,0.05,3.0,0.0005,1e-05,0.5,0.51,0.01
500.0,15.0,0.05,3.0,0.0005,0.0001,0.5,0.87,0.37
500.0,15.0,0.05,3.0,0.0005,0.0005,0.5,0.985,0.485
500.0,15.0,0.05,3.0,0.00075,5e-05,0.5,0.945,0.445
500.0,15.0,0.05,3.0,0.00075,0.0001,0.5,0.875,0.375
500.0,15.0,0.05,3.0,0.00075,0.0005,0.5,0.9924999999999999,0.4925
500.0,15.0,0.05,3.0,0.00075,0.001,0.5,0.6950000000000001,0.195
500.0,15.0,0.05,3.0,0.0025,5e-05,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.0025,0.0001,0.5,0.9775,0.47750000000000004
500.0,15.0,0.05,3.0,0.0025,0.0005,0.5,0.75,0.25
500.0,15.0,0.05,3.0,0.0025,0.005,0.5,0.593,0.093
500.0,15.0,0.05,3.0,0.005,5e-05,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.005,0.0001,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.005,0.001,0.5,0.8333333333333334,0.3333333333333333
500.0,15.0,0.05,3.0,0.005,0.005,0.5,0.7475,0.2475
500.0,15.0,0.05,3.0,0.0075,5e-05,0.5,0.99875,0.49875
500.0,15.0,0.05,3.0,0.0075,0.0005,0.5,0.8333333333333334,0.3333333333333333
500.0,15.0,0.05,3.0,0.0075,0.001,0.5,0.7150000000000001,0.215
500.0,15.0,0.05,3.0,0.0075,0.005,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.025,5e-05,0.5,0.999,0.499
500.0,15.0,0.05,3.0,0.025,0.0005,0.5,0.9983333333333334,0.49833333333333335
500.0,15.0,0.05,3.0,0.025,0.001,0.5,0.8,0.3
500.0,15.0,0.05,3.0,0.025,0.005,0.5,0.5366666666666666,0.03666666666666667
500.0,15.0,0.05,3.0,0.05,5e-05,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.05,0.0001,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.05,0.0005,0.5,0.9983333333333334,0.49833333333333335
500.0,15.0,0.05,3.0,0.05,0.005,0.5,0.8333333333333334,0.3333333333333333
500.0,15.0,0.05,3.0,0.075,1e-06,0.5,0.95,0.45
500.0,15.0,0.05,3.0,0.075,1e-05,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.075,5e-05,0.5,0.999,0.499
500.0,15.0,0.05,3.0,0.075,0.0001,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.075,0.0005,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.075,0.005,0.5,0.625,0.125
500.0,15.0,0.05,3.0,0.25,1e-06,0.5,0.5033333333333333,0.0033333333333333335
500.0,15.0,0.05,3.0,0.25,5e-06,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.25,1e-05,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.25,5e-05,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.25,0.0001,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.25,0.0005,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.25,0.001,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.25,0.005,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.5,1e-05,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.5,5e-05,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.5,0.0001,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.5,0.0005,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.5,0.001,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.5,0.005,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.75,1e-05,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.75,5e-05,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.75,0.0001,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.75,0.0005,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.75,0.001,0.5,1.0,0.5
500.0,15.0,0.05,3.0,0.75,0.005,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.00025,1e-05,0.5,0.745,0.245
500.0,50.0,0.05,3.0,0.00025,0.0001,0.5,0.705,0.205
500.0,50.0,0.05,3.0,0.00025,0.0005,0.5,0.545,0.045
500.0,50.0,0.05,3.0,0.00025,0.001,0.5,0.515,0.015
500.0,50.0,0.05,3.0,0.0005,1e-05,0.5,0.84,0.34
500.0,50.0,0.05,3.0,0.0005,0.0005,0.5,0.51,0.01
500.0,50.0,0.05,3.0,0.0005,0.005,0.5,0.51,0.01
500.0,50.0,0.05,3.0,0.00075,5e-06,0.5,0.8125,0.3125
500.0,50.0,0.05,3.0,0.00075,1e-05,0.5,0.7833333333333333,0.2833333333333334
500.0,50.0,0.05,3.0,0.00075,0.005,0.5,0.50875,0.00875
500.0,50.0,0.05,3.0,0.0025,0.0001,0.5,0.6716666666666667,0.17166666666666666
500.0,50.0,0.05,3.0,0.005,5e-06,0.5,0.975,0.475
500.0,50.0,0.05,3.0,0.005,5e-05,0.5,0.8333333333333334,0.3333333333333333
500.0,50.0,0.05,3.0,0.005,0.0001,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.005,0.0005,0.5,0.98,0.48
500.0,50.0,0.05,3.0,0.005,0.005,0.5,0.505,0.005
500.0,50.0,0.05,3.0,0.0075,5e-06,0.5,0.9199999999999999,0.42
500.0,50.0,0.05,3.0,0.0075,5e-05,0.5,0.7375,0.2375
500.0,50.0,0.05,3.0,0.0075,0.0005,0.5,0.755,0.255
500.0,50.0,0.05,3.0,0.025,5e-05,0.5,0.9,0.4
500.0,50.0,0.05,3.0,0.025,0.0005,0.5,0.75,0.25
500.0,50.0,0.05,3.0,0.025,0.001,0.5,0.6,0.1
500.0,50.0,0.05,3.0,0.05,5e-05,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.05,0.0005,0.5,0.6666666666666666,0.16666666666666666
500.0,50.0,0.05,3.0,0.05,0.005,0.5,0.6666666666666666,0.16666666666666666
500.0,50.0,0.05,3.0,0.075,1e-05,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.075,5e-05,0.5,0.875,0.375
500.0,50.0,0.05,3.0,0.075,0.0001,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.075,0.0005,0.5,0.71875,0.21875
500.0,50.0,0.05,3.0,0.25,5e-06,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.25,1e-05,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.25,0.001,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.5,1e-06,0.5,0.3266666666666667,-0.17333333333333334
500.0,50.0,0.05,3.0,0.5,5e-06,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.5,1e-05,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.5,0.0001,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.5,0.0005,0.5,0.9,0.4
500.0,50.0,0.05,3.0,0.5,0.001,0.5,0.9,0.4
500.0,50.0,0.05,3.0,0.5,0.005,0.5,0.74,0.24
500.0,50.0,0.05,3.0,0.75,5e-06,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.75,5e-05,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.75,0.0001,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.75,0.0005,0.5,1.0,0.5
500.0,50.0,0.05,3.0,0.75,0.001,0.5,0.6666666666666666,0.16666666666666666
500.0,50.0,0.05,3.0,0.75,0.005,0.5,0.6,0.1
500.0,100.0,0.05,3.0,0.00025,5e-06,0.5,0.725,0.225
500.0,100.0,0.05,3.0,0.00025,1e-05,0.5,0.46499999999999997,-0.035
500.0,100.0,0.05,3.0,0.00025,0.0001,0.5,0.5449999999999999,0.045000000000000005
500.0,100.0,0.05,3.0,0.0005,5e-06,0.5,0.57,0.07
500.0,100.0,0.05,3.0,0.0005,1e-05,0.5,0.6825,0.1825
500.0,100.0,0.05,3.0,0.0005,5e-05,0.5,0.575,0.075
500.0,100.0,0.05,3.0,0.00075,1e-05,0.5,0.7766666666666667,0.27666666666666667
500.0,100.0,0.05,3.0,0.0025,5e-05,0.5,0.485,-0.015
500.0,100.0,0.05,3.0,0.0025,0.0001,0.5,0.7575000000000001,0.2575
500.0,100.0,0.05,3.0,0.005,5e-06,0.5,1.0,0.5
500.0,100.0,0.05,3.0,0.005,5e-05,0.5,0.7166666666666667,0.21666666666666667
500.0,100.0,0.05,3.0,0.005,0.0001,0.5,0.985,0.485
500.0,100.0,0.05,3.0,0.0075,5e-06,0.5,0.75,0.25
500.0,100.0,0.05,3.0,0.0075,5e-05,0.5,1.0,0.5
500.0,100.0,0.05,3.0,0.025,5e-06,0.5,1.0,0.5
500.0,100.0,0.05,3.0,0.025,1e-05,0.5,0.985,0.485
500.0,100.0,0.05,3.0,0.025,5e-05,0.5,0.8,0.3
500.0,100.0,0.05,3.0,0.05,1e-05,0.5,1.0,0.5
500.0,100.0,0.05,3.0,0.075,5e-06,0.5,0.995,0.495
500.0,100.0,0.05,3.0,0.075,1e-05,0.5,1.0,0.5
500.0,100.0,0.05,3.0,0.075,5e-05,0.5,1.0,0.5
500.0,100.0,0.05,3.0,0.075,0.0001,0.49499999999999994,0.8333333333333334,0.3383333333333334
500.0,100.0,0.05,3.0,0.25,5e-06,0.5,1.0,0.5
500.0,100.0,0.05,3.0,0.25,5e-05,0.5,1.0,0.5
500.0,100.0,0.05,3.0,0.5,1e-06,0.5,0.945,0.445
500.0,100.0,0.05,3.0,0.5,5e-06,0.5,1.0,0.5
500.0,100.0,0.05,3.0,0.5,0.0001,0.5,1.0,0.5
500.0,100.0,0.05,3.0,0.75,5e-06,0.5,1.0,0.5
500.0,100.0,0.05,3.0,0.75,1e-05,0.5,1.0,0.5
500.0,100.0,0.05,3.0,0.75,5e-05,0.5,1.0,0.5
500.0,100.0,0.05,3.0,0.75,0.0001,0.5,1.0,0.5
