freq,num_neur,threshold,learning_rate,pre,post,diff,num_samps
15,30,0.00025,5e-05,0.5,1.0,0.5,3.0
15,30,0.0005,5e-05,0.5,1.0,0.5,4.0
15,30,0.0025,5e-05,0.5,1.0,0.5,2.0
15,30,0.0025,0.0001,0.5,1.0,0.5,4.0
15,30,0.0075,0.0001,0.5,1.0,0.5,3.0
15,30,0.025,5e-05,0.5,1.0,0.5,5.0
15,30,0.025,0.0001,0.5,1.0,0.5,3.0
15,30,0.075,0.0001,0.5,1.0,0.5,2.0
15,30,0.075,0.0005,0.5,1.0,0.5,4.0
15,30,0.25,5e-05,0.5,1.0,0.5,5.0
15,30,0.25,0.0005,0.5,1.0,0.5,5.0
15,30,0.25,0.001,0.5,1.0,0.5,2.0
15,30,0.5,0.001,0.5,1.0,0.5,5.0
15,30,0.75,0.001,0.5,1.0,0.5,5.0
50,30,0.25,0.0001,0.5,1.0,0.5,5.0
50,30,0.5,5e-05,0.5,0.9966666666666667,0.49666666666666665,3.0
50,30,0.5,0.0005,0.5,1.0,0.5,5.0
50,30,0.75,5e-05,0.5,0.99625,0.49624999999999997,4.0
50,30,0.75,0.0005,0.5,1.0,0.5,5.0
100,30,0.0025,1e-05,0.5,0.99875,0.49875,4.0
100,30,0.025,5e-05,0.5,1.0,0.5,5.0
100,30,0.05,5e-05,0.49800000000000005,1.0,0.502,5.0
100,30,0.075,5e-05,0.5,1.0,0.5,5.0
100,30,0.5,0.0001,0.5,0.9949999999999999,0.495,5.0
15,150,0.0005,5e-05,0.5,1.0,0.5,4.0
15,150,0.0005,0.001,0.5,1.0,0.5,3.0
15,150,0.00075,5e-05,0.5,1.0,0.5,4.0
15,150,0.0025,5e-05,0.5,1.0,0.5,4.0
15,150,0.005,5e-05,0.5,1.0,0.5,5.0
15,150,0.005,0.0001,0.5,1.0,0.5,4.0
15,150,0.0075,0.0001,0.5,1.0,0.5,5.0
15,150,0.025,0.0005,0.5,1.0,0.5,5.0
15,150,0.05,1e-05,0.5,1.0,0.5,5.0
15,150,0.05,5e-05,0.5,1.0,0.5,4.0
15,150,0.05,0.0005,0.5,1.0,0.5,5.0
15,150,0.25,1e-05,0.5,1.0,0.5,4.0
15,150,0.25,5e-05,0.5,1.0,0.5,5.0
15,150,0.25,0.0001,0.5,1.0,0.5,5.0
15,150,0.25,0.0005,0.5,1.0,0.5,4.0
15,150,0.25,0.001,0.5,1.0,0.5,4.0
15,150,0.25,0.005,0.5,1.0,0.5,4.0
15,150,0.5,5e-05,0.5,1.0,0.5,4.0
15,150,0.5,0.0005,0.5,1.0,0.5,5.0
15,150,0.5,0.001,0.5,1.0,0.5,5.0
15,150,0.5,0.005,0.5,1.0,0.5,5.0
15,150,0.75,5e-05,0.5,1.0,0.5,5.0
15,150,0.75,0.0001,0.5,1.0,0.5,5.0
15,150,0.75,0.0005,0.5,1.0,0.5,5.0
15,150,0.75,0.001,0.5,1.0,0.5,4.0
15,150,0.75,0.005,0.5,1.0,0.5,5.0
50,150,0.0075,1e-05,0.5,1.0,0.5,3.0
50,150,0.0075,5e-05,0.5,1.0,0.5,4.0
50,150,0.025,1e-05,0.5,1.0,0.5,4.0
50,150,0.025,5e-05,0.5,1.0,0.5,5.0
50,150,0.05,1e-05,0.5,1.0,0.5,3.0
50,150,0.05,5e-05,0.5,1.0,0.5,2.0
50,150,0.05,0.0001,0.5,1.0,0.5,4.0
50,150,0.075,5e-06,0.5,1.0,0.5,4.0
50,150,0.075,0.0001,0.5,1.0,0.5,4.0
50,150,0.25,1e-05,0.5,1.0,0.5,4.0
50,150,0.25,5e-05,0.5,1.0,0.5,5.0
50,150,0.25,0.0001,0.5,1.0,0.5,5.0
50,150,0.5,5e-06,0.5,1.0,0.5,5.0
50,150,0.5,1e-05,0.5,1.0,0.5,5.0
50,150,0.5,5e-05,0.5,1.0,0.5,4.0
50,150,0.5,0.0001,0.5,1.0,0.5,5.0
50,150,0.5,0.0005,0.5,1.0,0.5,5.0
50,150,0.5,0.001,0.5,1.0,0.5,5.0
50,150,0.75,1e-05,0.5,1.0,0.5,5.0
50,150,0.75,5e-05,0.5,1.0,0.5,5.0
50,150,0.75,0.0001,0.5,1.0,0.5,5.0
100,150,0.005,5e-06,0.5,1.0,0.5,5.0
100,150,0.025,1e-05,0.5,1.0,0.5,2.0
100,150,0.075,1e-05,0.5,1.0,0.5,4.0
100,150,0.5,1e-05,0.5,1.0,0.5,5.0
100,150,0.5,0.0001,0.5,1.0,0.5,5.0
100,150,0.75,0.0001,0.5,1.0,0.5,5.0
15,500,0.0025,5e-05,0.5,1.0,0.5,1.0
15,500,0.005,5e-05,0.5,1.0,0.5,3.0
15,500,0.005,0.0001,0.5,1.0,0.5,3.0
15,500,0.0075,0.005,0.5,1.0,0.5,1.0
15,500,0.05,5e-05,0.5,1.0,0.5,1.0
15,500,0.05,0.0001,0.5,1.0,0.5,2.0
15,500,0.075,1e-05,0.5,1.0,0.5,2.0
15,500,0.075,0.0001,0.5,1.0,0.5,2.0
15,500,0.075,0.0005,0.5,1.0,0.5,4.0
15,500,0.25,5e-06,0.5,1.0,0.5,2.0
15,500,0.25,1e-05,0.5,1.0,0.5,5.0
15,500,0.25,5e-05,0.5,1.0,0.5,4.0
15,500,0.25,0.0001,0.5,1.0,0.5,5.0
15,500,0.25,0.0005,0.5,1.0,0.5,4.0
15,500,0.25,0.001,0.5,1.0,0.5,2.0
15,500,0.25,0.005,0.5,1.0,0.5,4.0
15,500,0.5,1e-05,0.5,1.0,0.5,4.0
15,500,0.5,5e-05,0.5,1.0,0.5,2.0
15,500,0.5,0.0001,0.5,1.0,0.5,3.0
15,500,0.5,0.0005,0.5,1.0,0.5,4.0
15,500,0.5,0.001,0.5,1.0,0.5,5.0
15,500,0.5,0.005,0.5,1.0,0.5,5.0
15,500,0.75,1e-05,0.5,1.0,0.5,1.0
15,500,0.75,5e-05,0.5,1.0,0.5,3.0
15,500,0.75,0.0001,0.5,1.0,0.5,4.0
15,500,0.75,0.0005,0.5,1.0,0.5,5.0
15,500,0.75,0.001,0.5,1.0,0.5,4.0
15,500,0.75,0.005,0.5,1.0,0.5,5.0
50,500,0.005,0.0001,0.5,1.0,0.5,2.0
50,500,0.05,5e-05,0.5,1.0,0.5,2.0
50,500,0.075,1e-05,0.5,1.0,0.5,2.0
50,500,0.075,0.0001,0.5,1.0,0.5,3.0
50,500,0.25,5e-06,0.5,1.0,0.5,2.0
50,500,0.25,1e-05,0.5,1.0,0.5,2.0
50,500,0.25,0.001,0.5,1.0,0.5,1.0
50,500,0.5,5e-06,0.5,1.0,0.5,1.0
50,500,0.5,1e-05,0.5,1.0,0.5,4.0
50,500,0.5,0.0001,0.5,1.0,0.5,4.0
50,500,0.75,5e-06,0.5,1.0,0.5,1.0
50,500,0.75,5e-05,0.5,1.0,0.5,2.0
50,500,0.75,0.0001,0.5,1.0,0.5,4.0
50,500,0.75,0.0005,0.5,1.0,0.5,5.0
100,500,0.005,5e-06,0.5,1.0,0.5,1.0
100,500,0.0075,5e-05,0.5,1.0,0.5,4.0
100,500,0.025,5e-06,0.5,1.0,0.5,2.0
100,500,0.05,1e-05,0.5,1.0,0.5,1.0
100,500,0.075,1e-05,0.5,1.0,0.5,2.0
100,500,0.075,5e-05,0.5,1.0,0.5,4.0
100,500,0.25,5e-06,0.5,1.0,0.5,1.0
100,500,0.25,5e-05,0.5,1.0,0.5,2.0
100,500,0.5,5e-06,0.5,1.0,0.5,1.0
100,500,0.5,0.0001,0.5,1.0,0.5,2.0
100,500,0.75,5e-06,0.5,1.0,0.5,4.0
100,500,0.75,1e-05,0.5,1.0,0.5,1.0
100,500,0.75,5e-05,0.5,1.0,0.5,2.0
100,500,0.75,0.0001,0.5,1.0,0.5,3.0
